,accept_socket,add_netjob,bind_socket,change_service_config,check_for_debugger,com_create_instance,com_createole_object,com_get_class_object,connect,connect_socket,control_service,copy_file,create_directory,create_file,create_interface,create_key,create_mailslot,create_mutex,create_namedpipe,create_open_file,create_process,create_process_as_user,create_process_nt,create_service,create_socket,create_thread,create_thread_remote,create_window,delete_file,delete_key,delete_service,delete_share,delete_value,destroy_window,download_file,download_file_to_cache,dump_line,enum_handles,enum_items,enum_keys,enum_modules,enum_processes,enum_services,enum_share,enum_subtypes,enum_types,enum_values,enum_window,exit_windows,find_file,find_window,get_computer_name,get_file_attributes,get_host_by_addr,get_host_by_name,get_system_directory,get_system_time,get_userinfo,get_username,get_windows_directory,impersonate_user,kill_process,listen_socket,load_dll,load_driver,load_image,logon_as_user,message,move_file,open_file,open_key,open_mutex,open_process,open_scmanager,open_service,open_url,process,query_value,read_section,read_value,recv_socket,remove_directory,revert_to_self,send_socket,set_file_attributes,set_file_time,set_system_time,set_thread_context,set_value,set_windows_hook,show_window,sleep,start_service,thread,trimmed_bytes,unload_driver,vm_allocate,vm_mapviewofsection,vm_protect,vm_read,vm_write,write_value
0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,2,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,3,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,36,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,51,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,12,0,0,0
3,0,0,6,0,5,2,0,0,0,6,0,3,84,6,0,6,0,43,0,47,10,0,0,0,11,11,8,7,653,1,0,0,6,0,0,0,1701,0,0,5,0,2,0,0,0,0,2,11,0,24,6,11,8,0,11,42,0,0,10,1,6,7,0,223,0,5,0,0,1,98,689,2,1,2,0,6,7,710,0,0,102,69,1,6,1,0,0,0,59,10,0,5,0,11,102,0,32,0,142,0,20,0
4,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,49,0,6,5,0,6,0,0,13,0,0,0,2,0,1,0,80,0,2,0,0,0,12,95,0,3,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,3,0,0,0,0,36,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,5,0,0,9,0,0,0,1,0,1,0,33,0,1,0,0,0,1,10,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,6,3,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,4,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,36,0,0,0
7,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,49,0,6,7,0,7,0,0,14,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,6,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,2,0,0,0,0,36,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,9,0,0,0,0,0,1,0,33,0,1,0,0,0,1,10,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
